parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_param,sim
v_1,0.21,0.001,0.126,0.038,0.117,0.185,0.277,0.514,7185.194,1.001,1.582,36
v_2,0.157,0.001,0.098,0.026,0.084,0.137,0.208,0.397,7187.802,1,1.093,36
a,0.485,0,0.022,0.444,0.469,0.484,0.5,0.53,4559.143,1.001,0.972,36
ndt,0.485,0,0.002,0.481,0.484,0.485,0.487,0.489,4793.404,1.001,0.013,36
v_1,3.963,0.005,0.342,3.32,3.726,3.957,4.191,4.644,5703.214,1,4.021,37
v_2,0.913,0.002,0.155,0.614,0.805,0.911,1.017,1.222,5477.79,1,0.849,37
a,1.839,0.002,0.113,1.634,1.759,1.833,1.913,2.075,3687.237,1.001,1.652,37
ndt,0.488,0,0.013,0.46,0.48,0.489,0.497,0.511,4166.69,1,0.505,37
v_1,1.899,0.003,0.231,1.443,1.745,1.901,2.054,2.352,5088.695,1,0.855,38
v_2,3.503,0.005,0.344,2.845,3.272,3.499,3.73,4.181,5458.928,1,2.192,38
a,1.408,0.002,0.109,1.219,1.331,1.4,1.477,1.642,3456.684,1,1.948,38
ndt,0.452,0,0.012,0.424,0.445,0.453,0.461,0.472,3829.155,1.001,0.838,38
v_1,0.428,0.001,0.09,0.253,0.365,0.427,0.49,0.604,6238.931,1,1.213,39
v_2,0.47,0.001,0.094,0.287,0.406,0.469,0.534,0.659,7349.127,1,1.23,39
a,2.914,0.002,0.142,2.651,2.815,2.906,3.006,3.211,5675.319,1,3.362,39
ndt,0.323,0.001,0.054,0.204,0.29,0.328,0.362,0.417,5404.271,1,0.158,39
v_1,0.229,0.001,0.1,0.06,0.156,0.219,0.296,0.441,6296.283,1,0.86,40
v_2,0.121,0.001,0.068,0.023,0.069,0.11,0.16,0.286,7173.926,1,0.616,40
a,1.708,0.001,0.076,1.569,1.656,1.704,1.758,1.861,4973.81,1,1.859,40
ndt,0.412,0,0.022,0.365,0.399,0.414,0.427,0.449,5040.236,1,0.179,40
v_1,0.152,0.001,0.094,0.026,0.082,0.133,0.202,0.387,8177.566,1,0.25,41
v_2,0.21,0.001,0.126,0.035,0.115,0.186,0.282,0.507,7077.453,1,1.804,41
a,0.624,0,0.028,0.573,0.605,0.623,0.643,0.682,4554.743,1,0.829,41
ndt,0.481,0,0.003,0.474,0.479,0.482,0.484,0.487,4944.96,1,0.091,41
v_1,0.075,0.001,0.045,0.014,0.042,0.067,0.1,0.184,7836.272,1,0.402,42
v_2,0.103,0.001,0.063,0.018,0.057,0.091,0.139,0.258,7483.082,1,0.916,42
a,1.178,0.001,0.052,1.079,1.142,1.177,1.212,1.283,5020.612,1,2.248,42
ndt,0.409,0,0.013,0.382,0.401,0.409,0.418,0.432,4895.258,1,0.033,42
v_1,0.581,0.002,0.182,0.241,0.453,0.575,0.703,0.95,6027.6,1,1.181,43
v_2,2.666,0.004,0.273,2.146,2.478,2.663,2.849,3.203,6006.122,1,4.254,43
a,1.441,0.001,0.08,1.294,1.386,1.436,1.494,1.605,5101.964,1,1.479,43
ndt,0.495,0,0.009,0.474,0.49,0.496,0.502,0.511,5489.696,1,0.31,43
v_1,0.799,0.003,0.262,0.299,0.618,0.794,0.971,1.339,6386.67,1,0.823,44
v_2,1.485,0.004,0.281,0.93,1.296,1.483,1.678,2.033,6240.65,1,1.253,44
a,0.932,0.001,0.044,0.85,0.901,0.93,0.961,1.023,5339.134,1.001,0.845,44
ndt,0.487,0,0.006,0.475,0.484,0.488,0.492,0.497,5274.601,1.001,0.6,44
v_1,0.232,0.002,0.137,0.041,0.13,0.204,0.307,0.566,6971.756,1,0.266,45
v_2,0.186,0.001,0.113,0.033,0.102,0.164,0.246,0.465,7610.085,1,0.826,45
a,0.547,0,0.025,0.501,0.53,0.546,0.562,0.598,5211.812,1.001,0.643,45
ndt,0.486,0,0.003,0.481,0.485,0.486,0.488,0.491,5050.2,1.001,0.114,45
v_1,0.113,0.001,0.069,0.019,0.061,0.1,0.15,0.282,7299.234,1,1.631,46
v_2,0.068,0.001,0.041,0.011,0.037,0.06,0.09,0.168,6645.685,1,0.569,46
a,1.245,0.001,0.057,1.139,1.205,1.243,1.282,1.361,4392.437,1.001,2.161,46
ndt,0.393,0,0.015,0.362,0.384,0.394,0.403,0.419,4519.622,1,0.025,46
v_1,0.322,0.001,0.107,0.126,0.247,0.319,0.392,0.539,6271.507,1,0.319,47
v_2,0.907,0.002,0.141,0.633,0.813,0.908,1.004,1.184,6934.613,1,0.944,47
a,2.115,0.001,0.102,1.928,2.045,2.11,2.18,2.329,5546.739,1.001,2.181,47
ndt,0.52,0,0.027,0.459,0.503,0.523,0.539,0.564,5606.788,1.001,0.478,47
v_1,0.132,0.001,0.078,0.023,0.074,0.118,0.174,0.325,7252.469,1,1.53,48
v_2,0.105,0.001,0.065,0.018,0.057,0.092,0.139,0.263,7232.383,1,0.545,48
a,0.969,0.001,0.044,0.887,0.938,0.966,0.997,1.058,4913.761,1.001,1.437,48
ndt,0.445,0,0.008,0.427,0.44,0.446,0.451,0.459,4763.974,1.001,0.057,48
v_1,0.659,0.002,0.141,0.382,0.563,0.658,0.756,0.935,7234.195,1,0.79,49
v_2,1.358,0.002,0.185,1,1.231,1.357,1.485,1.721,7375.004,1,1.162,49
a,1.774,0.001,0.089,1.609,1.712,1.771,1.831,1.961,5281.815,1,1.718,49
ndt,0.52,0,0.019,0.479,0.508,0.522,0.534,0.552,6179.4,1,0.457,49
v_1,0.747,0.004,0.283,0.255,0.542,0.734,0.929,1.353,6389.659,1,2.252,50
v_2,0.24,0.002,0.135,0.044,0.137,0.216,0.321,0.556,6474.621,1,1.412,50
a,0.804,0,0.036,0.738,0.78,0.804,0.828,0.878,5483.517,1,0.839,50
ndt,0.481,0,0.005,0.471,0.478,0.481,0.484,0.489,5792.078,1,0.197,50
v_1,0.376,0.002,0.121,0.149,0.291,0.373,0.456,0.617,5358.477,1,1.006,51
v_2,0.756,0.002,0.157,0.448,0.649,0.754,0.862,1.069,6363.284,1,1.823,51
a,1.817,0.001,0.084,1.66,1.759,1.815,1.872,1.991,5392.352,1,1.921,51
ndt,0.422,0,0.022,0.375,0.409,0.424,0.437,0.46,6286.034,1,0.224,51
v_1,0.124,0.001,0.074,0.022,0.069,0.111,0.164,0.303,7290.932,1,1.453,52
v_2,0.142,0.001,0.082,0.027,0.079,0.128,0.188,0.34,6850.02,1,1.198,52
a,1.108,0.001,0.049,1.017,1.075,1.106,1.141,1.21,4790.798,1,1.479,52
ndt,0.44,0,0.01,0.418,0.434,0.441,0.448,0.459,4820.887,1,0.12,52
v_1,1.526,0.002,0.191,1.147,1.398,1.525,1.652,1.908,6685.867,1,2.244,53
v_2,0.706,0.002,0.166,0.385,0.591,0.705,0.819,1.029,6577.975,1,1.138,53
a,1.699,0.001,0.089,1.534,1.636,1.694,1.756,1.886,6047.346,1,1.653,53
ndt,0.47,0,0.015,0.436,0.461,0.471,0.481,0.496,6128.817,1,0.346,53
v_1,0.517,0.002,0.191,0.178,0.381,0.504,0.642,0.913,6365.474,1,1.664,54
v_2,0.16,0.001,0.086,0.033,0.095,0.146,0.213,0.36,7034.976,1,0.852,54
a,1.346,0.001,0.061,1.231,1.304,1.344,1.384,1.472,5380.763,1,1.349,54
ndt,0.436,0,0.014,0.405,0.428,0.437,0.445,0.459,4976.956,1,0.192,54
v_1,0.227,0.001,0.128,0.045,0.131,0.205,0.3,0.532,7565.031,1,0.857,55
v_2,0.223,0.002,0.136,0.035,0.123,0.197,0.297,0.54,6974.228,1,0.603,55
a,0.698,0,0.031,0.64,0.677,0.697,0.719,0.76,5427.513,1,0.744,55
ndt,0.484,0,0.004,0.475,0.481,0.484,0.486,0.49,5469.62,1.001,0.194,55
v_1,3.814,1.765,2.56,0.749,1.084,4.492,6.928,7.225,2.104,4.974,0.932,56
v_2,3.63,1.694,2.427,0.149,2.537,3.27,4.737,7.812,2.054,8.735,1.345,56
a,0,0,0,0,0,0,0,0,45.033,1.097,1.324,56
ndt,0.501,0,0,0.501,0.501,0.501,0.501,0.501,2.002,0.999,1.051,56
v_1,0.218,0.001,0.112,0.047,0.132,0.205,0.288,0.476,6847.558,1,1.665,57
v_2,0.167,0.001,0.09,0.033,0.099,0.153,0.221,0.375,7615.933,1,1.118,57
a,1.259,0.001,0.056,1.154,1.221,1.258,1.296,1.375,5290.177,1.001,1.606,57
ndt,0.434,0,0.013,0.406,0.426,0.435,0.443,0.456,4994.742,1,0.12,57
v_1,4.017,0.005,0.388,3.243,3.757,4.018,4.284,4.769,5938.935,1,4.118,58
v_2,1.995,0.004,0.305,1.413,1.787,1.995,2.196,2.605,5641.26,1,1.712,58
a,1.147,0.001,0.081,1.002,1.09,1.143,1.2,1.317,4073.553,1,1.074,58
ndt,0.492,0,0.006,0.478,0.488,0.492,0.496,0.502,4473.663,1,0.564,58
v_1,0.353,0.002,0.198,0.071,0.205,0.321,0.466,0.812,7255.36,1,1.588,59
v_2,0.361,0.002,0.202,0.068,0.209,0.329,0.479,0.829,7499.666,1,2.174,59
a,0.55,0,0.025,0.504,0.533,0.549,0.566,0.601,4660.855,1,0.529,59
ndt,0.489,0,0.002,0.484,0.488,0.49,0.491,0.494,4610.928,1,0.136,59
